"FREQ_CD","FREQ_DESC","VER_NBR","OBJ_ID"
"AA01","Annual month April on the 1st","1","8529CD484562060AE0404F8189D81C0B"
"AA02","Annual month April on the 2nd","1","8529CD484563060AE0404F8189D81C0B"
"AA03","Annual month April on the 3rd","1","8529CD484564060AE0404F8189D81C0B"
"AA04","Annual month April on the 4th","1","8529CD484565060AE0404F8189D81C0B"
"AA05","Annual month April on the 5th","1","8529CD484566060AE0404F8189D81C0B"
"AA06","Annual month April on the 6th","1","8529CD484567060AE0404F8189D81C0B"
"AA07","Annual month April on the 7th","1","8529CD484568060AE0404F8189D81C0B"
"AA08","Annual month April on the 8th","1","8529CD484569060AE0404F8189D81C0B"
"AA09","Annual month April on the 9th","1","8529CD48456A060AE0404F8189D81C0B"
"AA10","Annual month April on the 10th","1","8529CD48456B060AE0404F8189D81C0B"
"AA11","Annual month April on the 11th","1","8529CD48456C060AE0404F8189D81C0B"
"AA12","Annual month April on the 12th","1","8529CD48456D060AE0404F8189D81C0B"
"AA13","Annual month April on the 13th","1","8529CD48456E060AE0404F8189D81C0B"
"AA14","Annual month April on the 14th","1","8529CD48456F060AE0404F8189D81C0B"
"AA15","Annual month April on the 15th","1","8529CD484570060AE0404F8189D81C0B"
"AA16","Annual month April on the 16th","1","8529CD484571060AE0404F8189D81C0B"
"AA17","Annual month April on the 17th","1","8529CD484572060AE0404F8189D81C0B"
"AA18","Annual month April on the 18th","1","8529CD484573060AE0404F8189D81C0B"
"AA19","Annual month April on the 19th","1","8529CD484574060AE0404F8189D81C0B"
"AA20","Annual month April on the 20th","1","8529CD484575060AE0404F8189D81C0B"
"AA21","Annual month April on the 21st","1","8529CD484576060AE0404F8189D81C0B"
"AA22","Annual month April on the 22nd","1","8529CD484577060AE0404F8189D81C0B"
"AA23","Annual month April on the 23rd","1","8529CD484578060AE0404F8189D81C0B"
"AA24","Annual month April on the 24th","1","8529CD484579060AE0404F8189D81C0B"
"AA25","Annual month April on the 25th","1","8529CD48457A060AE0404F8189D81C0B"
"AA26","Annual month April on the 26th","1","8529CD48457B060AE0404F8189D81C0B"
"AA27","Annual month April on the 27th","1","8529CD48457C060AE0404F8189D81C0B"
"AA28","Annual month April on the 28th","1","8529CD48457D060AE0404F8189D81C0B"
"AA29","Annual month April on the 29th","1","8529CD48457E060AE0404F8189D81C0B"
"AA30","Annual month April on the 30th","1","8529CD48457F060AE0404F8189D81C0B"
"AAME","Annual month April on the Month End","1","8529CD484580060AE0404F8189D81C0B"
"AD01","Annual month December on the 1st","1","8529CD484581060AE0404F8189D81C0B"
"AD02","Annual month December on the 2nd","1","8529CD484582060AE0404F8189D81C0B"
"AD03","Annual month December on the 3rd","1","8529CD484583060AE0404F8189D81C0B"
"AD04","Annual month December on the 4th","1","8529CD484584060AE0404F8189D81C0B"
"AD05","Annual month December on the 5th","1","8529CD484585060AE0404F8189D81C0B"
"AD06","Annual month December on the 6th","1","8529CD484586060AE0404F8189D81C0B"
"AD07","Annual month December on the 7th","1","8529CD484587060AE0404F8189D81C0B"
"AD08","Annual month December on the 8th","1","8529CD484588060AE0404F8189D81C0B"
"AD09","Annual month December on the 9th","1","8529CD484589060AE0404F8189D81C0B"
"AD10","Annual month December on the 10th","1","8529CD48458A060AE0404F8189D81C0B"
"AD11","Annual month December on the 11th","1","8529CD48458B060AE0404F8189D81C0B"
"AD12","Annual month December on the 12th","1","8529CD48458C060AE0404F8189D81C0B"
"AD13","Annual month December on the 13th","1","8529CD48458D060AE0404F8189D81C0B"
"AD14","Annual month December on the 14th","1","8529CD48458E060AE0404F8189D81C0B"
"AD15","Annual month December on the 15th","1","8529CD48458F060AE0404F8189D81C0B"
"AD16","Annual month December on the 16th","1","8529CD484590060AE0404F8189D81C0B"
"AD17","Annual month December on the 17th","1","8529CD484591060AE0404F8189D81C0B"
"AD18","Annual month December on the 18th","1","8529CD484592060AE0404F8189D81C0B"
"AD19","Annual month December on the 19th","1","8529CD484593060AE0404F8189D81C0B"
"AD20","Annual month December on the 20th","1","8529CD484594060AE0404F8189D81C0B"
"AD21","Annual month December on the 21st","1","8529CD484595060AE0404F8189D81C0B"
"AD22","Annual month December on the 22nd","1","8529CD484596060AE0404F8189D81C0B"
"AD23","Annual month December on the 23rd","1","8529CD484597060AE0404F8189D81C0B"
"AD24","Annual month December on the 24th","1","8529CD484598060AE0404F8189D81C0B"
"AD25","Annual month December on the 25th","1","8529CD484599060AE0404F8189D81C0B"
"AD26","Annual month December on the 26th","1","8529CD48459A060AE0404F8189D81C0B"
"AD27","Annual month December on the 27th","1","8529CD48459B060AE0404F8189D81C0B"
"AD28","Annual month December on the 28th","1","8529CD48459C060AE0404F8189D81C0B"
"AD29","Annual month December on the 29th","1","8529CD48459D060AE0404F8189D81C0B"
"AD30","Annual month December on the 30th","1","8529CD48459E060AE0404F8189D81C0B"
"AD31","Annual month December on the 31st","1","8529CD48459F060AE0404F8189D81C0B"
"ADME","Annual month December on the Month End","1","8529CD4845A0060AE0404F8189D81C0B"
"AF01","Annual month February on the 1st","1","8529CD4845A1060AE0404F8189D81C0B"
"AF02","Annual month February on the 2nd","1","8529CD4845A2060AE0404F8189D81C0B"
"AF03","Annual month February on the 3rd","1","8529CD4845A3060AE0404F8189D81C0B"
"AF04","Annual month February on the 4th","1","8529CD4845A4060AE0404F8189D81C0B"
"AF05","Annual month February on the 5th","1","8529CD4845A5060AE0404F8189D81C0B"
"AF06","Annual month February on the 6th","1","8529CD4845A6060AE0404F8189D81C0B"
"AF07","Annual month February on the 7th","1","8529CD4845A7060AE0404F8189D81C0B"
"AF08","Annual month February on the 8th","1","8529CD4845A8060AE0404F8189D81C0B"
"AF09","Annual month February on the 9th","1","8529CD4845A9060AE0404F8189D81C0B"
"AF10","Annual month February on the 10th","1","8529CD4845AA060AE0404F8189D81C0B"
"AF11","Annual month February on the 11th","1","8529CD4845AB060AE0404F8189D81C0B"
"AF12","Annual month February on the 12th","1","8529CD4845AC060AE0404F8189D81C0B"
"AF13","Annual month February on the 13th","1","8529CD4845AD060AE0404F8189D81C0B"
"AF14","Annual month February on the 14th","1","8529CD4845AE060AE0404F8189D81C0B"
"AF15","Annual month February on the 15th","1","8529CD4845AF060AE0404F8189D81C0B"
"AF16","Annual month February on the 16th","1","8529CD4845B0060AE0404F8189D81C0B"
"AF17","Annual month February on the 17th","1","8529CD4845B1060AE0404F8189D81C0B"
"AF18","Annual month February on the 18th","1","8529CD4845B2060AE0404F8189D81C0B"
"AF19","Annual month February on the 19th","1","8529CD4845B3060AE0404F8189D81C0B"
"AF20","Annual month February on the 20th","1","8529CD4845B4060AE0404F8189D81C0B"
"AF21","Annual month February on the 21st","1","8529CD4845B5060AE0404F8189D81C0B"
"AF22","Annual month February on the 22nd","1","8529CD4845B6060AE0404F8189D81C0B"
"AF23","Annual month February on the 23rd","1","8529CD4845B7060AE0404F8189D81C0B"
"AF24","Annual month February on the 24th","1","8529CD4845B8060AE0404F8189D81C0B"
"AF25","Annual month February on the 25th","1","8529CD4845B9060AE0404F8189D81C0B"
"AF26","Annual month February on the 26th","1","8529CD4845BA060AE0404F8189D81C0B"
"AF27","Annual month February on the 27th","1","8529CD4845BB060AE0404F8189D81C0B"
"AF28","Annual month February on the 28th","1","8529CD4845BC060AE0404F8189D81C0B"
"AF29","Annual month February on the 29th","1","8529CD4845BD060AE0404F8189D81C0B"
"AFME","Annual month February on the Month End","1","8529CD4845BE060AE0404F8189D81C0B"
"AG01","Annual month August on the 1st","1","8529CD4845BF060AE0404F8189D81C0B"
"AG02","Annual month August on the 2nd","1","8529CD4845C0060AE0404F8189D81C0B"
"AG03","Annual month August on the 3rd","1","8529CD4845C1060AE0404F8189D81C0B"
"AG04","Annual month August on the 4th","1","8529CD4845C2060AE0404F8189D81C0B"
"AG05","Annual month August on the 5th","1","8529CD4845C3060AE0404F8189D81C0B"
"AG06","Annual month August on the 6th","1","8529CD4845C4060AE0404F8189D81C0B"
"AG07","Annual month August on the 7th","1","8529CD4845C5060AE0404F8189D81C0B"
